year,City,Area,weight_per_10a,harvest,species
2023,千葉,85,"1,160",986,orange
2023,神奈川,"1,010","1,300","13,100",orange
2023,静岡,"4,800","2,080","99,800",orange
2023,愛知,"1,060","2,060","21,800",orange
2023,三重,931,"1,750","16,300",orange
2023,大阪,675,"1,700","11,500",orange
2023,和歌山,"6,630","2,170","143,900",orange
2023,広島,"1,480","1,050","15,600",orange
2023,山口,618,845,"5,220",orange
2023,徳島,649,"1,460","9,470",orange
2023,香川,899,"1,100","9,890",orange
2023,愛媛,"5,190","2,140","111,100",orange
2023,高知,266,"2,380","6,330",orange
2023,福岡,"1,080","1,530","16,500",orange
2023,佐賀,"1,690","2,390","40,400",orange
2023,長崎,"2,410","1,810","43,600",orange
2023,熊本,"3,520","2,290","80,600",orange
2023,大分,623,"1,640","10,200",orange
2023,宮崎,497,"1,400","6,980",orange
2023,鹿児島,767,"1,620","12,400",orange
2022,千葉,95,"1,060","1,010",orange
2022,神奈川,"1,030","1,220","12,600",orange
2022,静岡,"4,880","2,110","103,000",orange
2022,愛知,"1,070","2,260","24,200",orange
2022,三重,950,"1,610","15,300",orange
2022,大阪,681,"1,840","12,500",orange
2022,和歌山,"6,720","2,270","152,500",orange
2022,広島,"1,550","1,060","16,400",orange
2022,山口,634,"1,040","6,590",orange
2022,徳島,652,"1,390","9,060",orange
2022,香川,939,"1,070","10,000",orange
2022,愛媛,"5,330","2,050","109,300",orange
2022,高知,274,"2,030","5,560",orange
2022,福岡,"1,100","1,600","17,600",orange
2022,佐賀,"1,770","2,200","38,900",orange
2022,長崎,"2,510","1,610","40,400",orange
2022,熊本,"3,570","2,100","75,000",orange
2022,大分,628,"1,570","9,860",orange
2022,宮崎,503,"1,380","6,940",orange
2022,鹿児島,776,"1,250","9,700",orange
2021,千葉,97,"1,130","1,100",orange
2021,神奈川,"1,050","1,340","14,100",orange
2021,静岡,"4,920","2,030","99,700",orange
2021,愛知,"1,120","2,150","24,100",orange
2021,三重,992,"1,860","18,500",orange
2021,大阪,685,"1,760","12,100",orange
2021,和歌山,"6,780","2,180","147,800",orange
2021,広島,"1,630","1,350","22,000",orange
2021,山口,662,"1,300","8,610",orange
2021,徳島,656,"1,400","9,180",orange
2021,香川,962,"1,160","11,200",orange
2021,愛媛,"5,460","2,340","127,800",orange
2021,高知,283,"2,050","5,800",orange
2021,福岡,"1,120","1,870","20,900",orange
2021,佐賀,"1,860","2,520","46,900",orange
2021,長崎,"2,560","2,030","52,000",orange
2021,熊本,"3,630","2,480","90,000",orange
2021,大分,645,"1,780","11,500",orange
2021,宮崎,511,"1,540","7,870",orange
2021,鹿児島,794,"1,440","11,400",orange
2023,青森,123,"1,200","1,480",peer
2023,山形,798,"1,660","13,200",peer
2023,福島,34,"1,540",524,peer
2023,新潟,102,"1,510","1,540",peer
2023,長野,70,"1,410",987,peer
2022,青森,127,"1,470","1,870",peer
2022,山形,814,"2,230","18,200",peer
2022,福島,36,"1,650",594,peer
2022,新潟,105,"2,010","2,110",peer
2022,長野,74,"1,700","1,260",peer
2021,青森,128,"1,390","1,780",peer
2021,山形,826,"1,680","13,900",peer
2021,福島,36,"1,570",565,peer
2021,新潟,105,"1,700","1,790",peer
2021,長野,79,"1,620","1,280",peer
